Date,Not indexed,Indexed,Impressions
2026-03-30,,,0
2026-03-31,33,17,1
2026-04-01,33,17,2
2026-04-02,33,17,4
2026-04-03,33,17,1
2026-04-04,33,17,0
2026-04-05,38,17,1
2026-04-06,38,17,3
2026-04-07,46,82,2
2026-04-08,46,82,2
2026-04-09,46,82,6
2026-04-10,46,82,2
2026-04-11,48,81,6
2026-04-12,48,81,6
2026-04-13,48,81,3
2026-04-14,48,81,3
2026-04-15,48,81,3
2026-04-16,48,81,5
2026-04-17,48,81,1
2026-04-18,48,81,1
2026-04-19,48,81,5
2026-04-20,48,81,5
2026-04-21,60,69,3
2026-04-22,60,69,5
2026-04-23,60,69,2
2026-04-24,60,69,4
2026-04-25,61,68,1
2026-04-26,61,68,3
2026-04-27,61,68,1
2026-04-28,61,71,4
2026-04-29,61,71,5
2026-04-30,61,71,9
2026-05-01,61,71,5
2026-05-02,63,68,3
2026-05-03,63,68,4
2026-05-04,63,68,2
2026-05-05,63,66,9
2026-05-06,63,66,6
2026-05-07,63,66,6
2026-05-08,63,66,9
2026-05-09,64,65,4
2026-05-10,64,65,4
2026-05-11,64,65,4
2026-05-12,66,64,5
2026-05-13,66,64,4
2026-05-14,66,64,5
2026-05-15,66,64,2
2026-05-16,66,64,8
2026-05-17,66,64,3
2026-05-18,66,64,2
2026-05-19,66,67,4
2026-05-20,66,67,8
2026-05-21,66,67,1
2026-05-22,66,67,4
2026-05-23,66,67,2
2026-05-24,66,67,9
2026-05-25,66,67,0
2026-05-26,66,67,7
2026-05-27,66,67,11
2026-05-28,66,67,10
2026-05-29,66,67,9
2026-05-30,70,62,3
2026-05-31,70,62,4
2026-06-01,70,62,10
2026-06-02,74,58,2
2026-06-03,74,58,3
2026-06-04,74,58,3
2026-06-05,74,58,3
